file,Name,Description,Type,Unit
df_info_summary,Name,Filename of the source .edf recording – not for public display,string,N/A
df_info_summary,Tstart,"Start date and time of the recording, from the EDF header",datetime,ISO 8601
df_info_summary,fs_ecg,Sampling rate of the ECG signal as declared in the EDF header,integer,hertz (Hz)
df_info_summary,units_ecg,"Physical units of the ECG signal, from the EDF header",string,N/A
df_info_summary,N_ecg,Number of data points in the ECG recording,integer,samples
df_info_summary,model_file,Filename of the QRS detector weights used for this recording,string,N/A
df_info_summary,model_sha256,"SHA-256 of the weights file, so a result can be traced to the exact model that produced it",string,N/A
df_info_summary,failed,"True if processing failed for this recording – written as 1/0 rather than True/False. When 1, the remaining columns are blank from the point processing stopped ⚠️",boolean,N/A
df_info_summary,failure_reason,Why processing failed – blank if failed is 0,string,N/A
df_info_summary,fs_acc,Sampling rate of the accelerometer signal as declared in the EDF header,integer,hertz
df_info_summary,units_acc,"Physical units of the accelerometer signal, from the EDF header",string,N/A
df_info_summary,N_acc,Number of data points in the accelerometer recording,integer,samples
df_info_summary,CalibNumSamples,Number of data points used for accelerometer calibration,integer,samples
df_info_summary,CalibErrorBefore(mg),Accelerometer miscalibration error before calibration,float,milligravity (mg)
df_info_summary,CalibErrorAfter(mg),Accelerometer miscalibration error after calibration,float,milligravity (mg)
df_info_summary,CalibNumIters,Number of iterations it took for calibration to converge,integer,count
df_info_summary,CalibOK,"Whether calibration was successful; 1.0 if yes,  BLANK if not",boolean,N/A
df_info_summary,CalibxIntercept,Offset applied to the X-axis during calibration,float,gravity (g)
df_info_summary,CalibyIntercept,Offset applied to the Y-axis during calibration,float,gravity (g)
df_info_summary,CalibzIntercept,Offset applied to the Z-axis during calibration,float,gravity (g)
df_info_summary,CalibxSlope,Multiplication factor applied to the X-axis during calibration,float,N/A
df_info_summary,CalibySlope,Multiplication factor applied to the Y-axis during calibration,float,N/A
df_info_summary,CalibzSlope,Multiplication factor applied to the Z-axis during calibration,float,N/A
df_info_summary,HR_min,Lowest 10-minute average heart rate in the recording,float,beats per minute (bpm)
df_info_summary,HR_max,Highest 10-minute average heart rate in the recording,float,beats per minute (bpm)
df_info_summary,HR_mean,Mean of the 10-minute average heart rates across the recording,float,beats per minute (bpm)
df_info_summary,HR_rest_robust,Resting heart rate: median of the 10-minute average heart rates during the night-time periods with very low acceleration (below the pre-defined sleep_threshold_mg cut-point),float,beats per minute (bpm)
df_info_summary,median_daily_rmssd,Median HRV (RMSSD) across overnight rest windows,float,milliseconds (ms)
df_info_summary,hours_sleep_sedentary,Time spent below the very light activity cut-point across the whole recording,float,hours (h)
df_info_summary,hours_very_light,Time spent between the very light and light activity cut-points across the whole recording,float,hours (h)
df_info_summary,hours_light_activity,Time spent between the light and moderate activity cut-points across the whole recording,float,hours (h)
df_info_summary,hours_mvpa,Time spent at or above the moderate cut-point across the whole recording (moderate to vigorous physical activity),float,hours (h)
df_info_summary,wear_time_ECG_10s,"Proportion of 10-second windows in which the device was worn. Despite the name this is a proportion, not a duration",float,proportion (0-1)
df_info_summary,prop_ECG_passed_finalQC,"Proportion of segments passing final quality control, including non-wear time",float,proportion (0-1)
